heng,shu,index
0.59581125,0.107826285,995
0.20050341,0.44357637,990
0.3167878,0.9024397,985
0.4647667,0.6605767,980
0.9598729,0.39910382,975
0.5462176,0.33917817,970
0.2332581,0.5093986,965
0.3556022,0.87106067,960
0.46206683,0.61809224,955
0.6945634,0.0597948,950
0.5054495,0.36469182,945
0.2702168,0.55358803,940
0.526243,0.78680176,935
0.51778877,0.61415297,930
0.6292918,0.4920558,925
0.4660733,0.35010153,920
0.44303033,0.24695194,915
0.5745448,0.7906838,910
0.61867636,0.64987445,905
0.3683246,0.50105464,900
0.289038,0.073792055,895
0.48270392,0.23287198,890
0.6082478,0.8361936,885
0.82324433,0.6904149,880
0.3827701,0.45982605,875
0.33838698,0.041027635,870
0.5054602,0.32171798,865
0.56724304,0.98623556,860
0.78053576,0.65081006,855
0.39141914,0.41779932,850
0.40469018,0.036076546,845
0.15793099,0.5658257,840
0.6042382,1.0,835
0.7584334,0.60071844,830
0.7351411,0.33321542,825
0.3928647,0.24574216,820
0.11066645,0.5436274,815
0.48250768,0.72125006,810
0.84525025,0.5528956,805
0.74580693,0.27827594,800
0.25489548,0.41554826,795
0.03987319,0.5082909,790
0.50812453,0.6817667,785
0.903283,0.5648158,780
0.6667241,0.29793745,775
0.28165638,0.45912093,770
0.04987916,0.45358118,765
0.5687521,0.66736317,760
0.9533781,0.5771546,755
0.6223979,0.32961085,750
0.32401723,0.40401188,745
0.09379019,0.4301964,740
0.42293167,0.91011834,735
0.7835058,0.7673192,730
0.6317641,0.3969168,725
0.3939124,0.16528028,720
0.122417875,0.46921209,715
0.39187455,0.9582105,710
0.75305885,0.7302933,705
0.68110853,0.38755402,700
0.6841922,0.16194713,695
0.11321462,0.62568766,690
0.35150707,0.9845141,685
0.656648,0.6743352,680
0.8626374,0.24369313,675
0.61727005,0.25916916,670
0.07266414,0.6735507,665
0.27433586,0.74706584,660
0.688191,0.62540495,655
0.91792554,0.26175374,650
0.57184917,0.2818744,645
0.2165104,0.7817728,640
0.35749084,0.6890877,635
0.6724757,0.5872033,630
0.77036804,0.44806686,625
0.5362164,0.23452172,620
0.19993307,0.6303849,615
0.50498724,0.70851475,610
0.67600185,0.8560694,605
0.28967258,0.34052023,600
0.5135887,0.1619903,595
0.5057796,0.49528283,590
0.8763344,0.7361122,585
0.64525056,0.89697814,580
0.34607786,0.34294334,575
0.117793836,0.22926699,570
0.5176199,0.54587215,565
0.82545245,0.89437586,560
0.60859686,0.5935775,555
0.23492864,0.15073185,550
0.16971911,0.24890882,545
0.5496158,0.5794959,540
0.75394624,0.93083197,535
0.6190134,0.5505771,530
0.49224606,0.0,525
0.17546088,0.3341718,520
0.32100216,0.56218064,515
0.7516735,0.8706616,510
0.89396113,0.48770127,505
0.6515916,0.056267437,500
0.1593728,0.38058248,495
0.2902178,0.5969793,490
0.5919739,0.7181431,485
0.9451044,0.48752818,480
0.5710847,0.41685268,475
0.121474065,0.31393933,470
0.27389845,0.6489391,465
0.60402155,0.76085085,460
1.0,0.49544597,455
0.52616584,0.43287784,450
0.25799772,0.098971605,445
0.23817557,0.6810087,440
0.626725,0.8028536,435
0.8526756,0.6652634,430
0.47198543,0.41831717,425
0.34506676,0.08213877,420
0.19036427,0.6962786,415
0.5740845,0.92684233,410
0.8071408,0.6287018,405
0.57655185,0.18598662,400
0.39649865,0.08525173,395
0.13784933,0.69420457,390
0.52601814,0.9408699,385
0.73753136,0.5696316,380
0.76325864,0.20327649,375
0.47719663,0.28174314,370
0.10122665,0.7403703,365
0.39291725,0.83645064,360
0.7036193,0.5367732,355
0.7300842,0.23698483,350
0.44743195,0.46454468,345
0.10767596,0.7974549,340
0.38751468,0.79617953,335
0.7727266,0.3952078,330
0.68364036,0.25980324,325
0.31273517,0.4795639,320
0.22098272,0.56875366,315
0.44720623,0.8146373,310
0.79773897,0.3551552,305
0.5977326,0.34938595,300
0.34392428,0.42757973,295
0.45537215,0.52629006,290
0.4511483,0.8951986,285
0.42506903,0.5767511,280
0.42182133,0.30653542,275
0.43043655,0.15504323,270
0.5594315,0.5102395,265
0.42295593,0.978865,260
0.3816781,0.57595325,255
0.34626168,0.23830448,250
0.65152276,0.17688875,245
0.4798406,0.5805193,240
0.46682176,0.99535483,235
0.59744817,0.4703394,230
0.3213306,0.19551761,225
0.63311994,0.22770923,220
0.4385572,0.7472869,215
0.69500136,0.7776181,210
0.68049955,0.46427846,205
0.2784828,0.20045803,200
0.40296134,0.37438554,195
0.2607013,0.79767466,190
0.6764376,0.73447996,185
0.85070276,0.32216844,180
0.27081594,0.2573809,175
0.0341877,0.6118741,170
0.3031988,0.7063941,165
0.7164428,0.6847443,160
0.8927382,0.3381585,155
0.28934482,0.31428373,150
0.0,0.5756763,145
0.34817332,0.6277469,140
0.8637386,0.75731987,135
0.81866586,0.5074566,130
0.34489742,0.30971545,125
0.061643183,0.30198324,120
0.38778195,0.62497205,115
0.83184505,0.8503597,110
0.7777926,0.527598,105
0.4886462,0.10067018,100
0.20090586,0.26946455,95
0.20283212,0.85200405,90
0.7075482,0.9496774,85
0.83887506,0.44450527,80
0.51270735,0.046145998,75
0.21574034,0.333197,70
0.23133902,0.8986637,65
0.34151223,0.754323,60
0.88568944,0.44202882,55
0.61906,0.080141366,50
0.19971369,0.4042384,45
0.28608394,0.88236606,40
0.4451775,0.6905116,35
0.95167255,0.43431792,30
0.5656432,0.37112308,25
0.22560605,0.47248352,20
0.32950956,0.84608376,15
0.4339903,0.63821423,10
0.99342924,0.4541111,5
0.5300687,0.38941905,0
